"voyelle" "partie" "vitesse" "durée" "locuteur"
"an" "oral" "normal" 17 "fr"
"an" "oral" "normal" 54 "fr"
"an" "oral" "normal" 57 "fr"
"an" "oral" "normal" 60 "fr"
"an" "oral" "normal" 34 "fr"
"an" "oral" "normal" 58 "fr"
"an" "oral" "normal" 44 "fr"
"an" "oral" "normal" 43 "fr"
"an" "oral" "normal" 40 "fr"
"an" "oral" "normal" 51 "fr"
"an" "oral" "normal" 38 "fr"
"an" "oral" "normal" 23 "fr"
"an" "oral" "normal" 43 "fr"
"an" "oral" "normal" 58 "fr"
"an" "oral" "normal" 37 "fr"
"an" "oral" "normal" 46 "fr"
"an" "oral" "normal" 47 "fr"
"an" "oral" "normal" 38 "fr"
"an" "oral" "normal" 32 "fr"
"an" "oral" "normal" 43 "fr"
"an" "oral" "normal" 47 "fr"
"an" "oral" "normal" 35 "fr"
"an" "oral" "normal" 41 "fr"
"an" "oral" "normal" 36 "fr"
"an" "oral" "normal" 33 "fr"
"an" "nasal" "normal" 174 "fr"
"an" "nasal" "normal" 189 "fr"
"an" "nasal" "normal" 163 "fr"
"an" "nasal" "normal" 170 "fr"
"an" "nasal" "normal" 157 "fr"
"an" "nasal" "normal" 166 "fr"
"an" "nasal" "normal" 177 "fr"
"an" "nasal" "normal" 142 "fr"
"an" "nasal" "normal" 189 "fr"
"an" "nasal" "normal" 154 "fr"
"an" "nasal" "normal" 149 "fr"
"an" "nasal" "normal" 193 "fr"
"an" "nasal" "normal" 156 "fr"
"an" "nasal" "normal" 169 "fr"
"an" "nasal" "normal" 157 "fr"
"an" "nasal" "normal" 194 "fr"
"an" "nasal" "normal" 164 "fr"
"an" "nasal" "normal" 149 "fr"
"an" "nasal" "normal" 167 "fr"
"an" "nasal" "normal" 186 "fr"
"an" "nasal" "normal" 179 "fr"
"an" "nasal" "normal" 145 "fr"
"an" "nasal" "normal" 163 "fr"
"an" "nasal" "normal" 206 "fr"
"an" "nasal" "normal" 192 "fr"
"an" "nasal" "normal" 214 "fr"
"an" "nasal" "normal" 203 "fr"
"an" "nasal" "normal" 141 "fr"
"an" "nasal" "normal" 167 "fr"
"an" "nasal" "normal" 176 "fr"
"an" "nasal" "normal" 160 "fr"
"an" "nasal" "normal" 186 "fr"
"an" "nasal" "normal" 167 "fr"
"an" "nasal" "normal" 127 "fr"
"an" "nasal" "normal" 157 "fr"
"an" "nasal" "normal" 162 "fr"
"an" "nasal" "normal" 142 "fr"
"an" "nasal" "normal" 170 "fr"
"an" "nasal" "normal" 173 "fr"
"an" "nasal" "normal" 173 "fr"
"an" "nasal" "normal" 163 "fr"
"an" "nasal" "normal" 170 "fr"
"an" "nasal" "normal" 173 "fr"
"an" "nasal" "normal" 186 "fr"
"an" "nasal" "normal" 182 "fr"
"an" "nasal" "normal" 158 "fr"
"an" "nasal" "normal" 158 "fr"
"an" "nasal" "normal" 153 "fr"
"an" "nasal" "normal" 186 "fr"
"an" "nasal" "normal" 176 "fr"
"an" "nasal" "normal" 196 "fr"
"an" "nasal" "normal" 141 "fr"
"an" "nasal" "normal" 182 "fr"
"an" "nasal" "normal" 142 "fr"
"an" "nasal" "normal" 203 "fr"
"an" "nasal" "normal" 193 "fr"
"an" "nasal" "normal" 162 "fr"
"an" "nasal" "normal" 184 "fr"
"an" "nasal" "normal" 183 "fr"
"an" "nasal" "normal" 157 "fr"
"on" "oral" "normal" 62 "fr"
"on" "oral" "normal" 52 "fr"
"on" "oral" "normal" 39 "fr"
"on" "oral" "normal" 31 "fr"
"on" "oral" "normal" 46 "fr"
"on" "oral" "normal" 48 "fr"
"on" "oral" "normal" 46 "fr"
"on" "oral" "normal" 40 "fr"
"on" "oral" "normal" 30 "fr"
"on" "oral" "normal" 35 "fr"
"on" "oral" "normal" 24 "fr"
"on" "oral" "normal" 55 "fr"
"on" "oral" "normal" 40 "fr"
"on" "oral" "normal" 34 "fr"
"on" "oral" "normal" 50 "fr"
"on" "oral" "normal" 68 "fr"
"on" "oral" "normal" 36 "fr"
"on" "oral" "normal" 54 "fr"
"on" "oral" "normal" 37 "fr"
"on" "oral" "normal" 67 "fr"
"on" "oral" "normal" 43 "fr"
"on" "oral" "normal" 52 "fr"
"on" "oral" "normal" 35 "fr"
"on" "oral" "normal" 42 "fr"
"on" "oral" "normal" 56 "fr"
"on" "oral" "normal" 48 "fr"
"on" "oral" "normal" 65 "fr"
"on" "oral" "normal" 52 "fr"
"on" "oral" "normal" 52 "fr"
"on" "oral" "normal" 35 "fr"
"on" "oral" "normal" 42 "fr"
"on" "oral" "normal" 35 "fr"
"on" "oral" "normal" 29 "fr"
"on" "oral" "normal" 29 "fr"
"on" "oral" "normal" 35 "fr"
"on" "oral" "normal" 34 "fr"
"on" "oral" "normal" 44 "fr"
"on" "oral" "normal" 53 "fr"
"on" "oral" "normal" 67 "fr"
"on" "oral" "normal" 42 "fr"
"on" "oral" "normal" 30 "fr"
"on" "oral" "normal" 39 "fr"
"on" "oral" "normal" 26 "fr"
"on" "oral" "normal" 46 "fr"
"on" "oral" "normal" 38 "fr"
"on" "oral" "normal" 53 "fr"
"on" "oral" "normal" 57 "fr"
"on" "oral" "normal" 43 "fr"
"on" "oral" "normal" 51 "fr"
"on" "oral" "normal" 30 "fr"
"on" "oral" "normal" 41 "fr"
"on" "oral" "normal" 47 "fr"
"on" "oral" "normal" 44 "fr"
"on" "oral" "normal" 25 "fr"
"on" "oral" "normal" 44 "fr"
"on" "oral" "normal" 45 "fr"
"on" "oral" "normal" 48 "fr"
"on" "oral" "normal" 30 "fr"
"on" "oral" "normal" 47 "fr"
"on" "oral" "normal" 30 "fr"
"on" "nasal" "normal" 184 "fr"
"on" "nasal" "normal" 186 "fr"
"on" "nasal" "normal" 146 "fr"
"on" "nasal" "normal" 157 "fr"
"on" "nasal" "normal" 154 "fr"
"on" "nasal" "normal" 156 "fr"
"on" "nasal" "normal" 152 "fr"
"on" "nasal" "normal" 149 "fr"
"on" "nasal" "normal" 119 "fr"
"on" "nasal" "normal" 178 "fr"
"on" "nasal" "normal" 177 "fr"
"on" "nasal" "normal" 182 "fr"
"on" "nasal" "normal" 124 "fr"
"on" "nasal" "normal" 126 "fr"
"on" "nasal" "normal" 162 "fr"
"on" "nasal" "normal" 148 "fr"
"on" "nasal" "normal" 177 "fr"
"on" "nasal" "normal" 142 "fr"
"on" "nasal" "normal" 170 "fr"
"on" "nasal" "normal" 154 "fr"
"on" "nasal" "normal" 190 "fr"
"on" "nasal" "normal" 192 "fr"
"on" "nasal" "normal" 145 "fr"
"on" "nasal" "normal" 179 "fr"
"on" "nasal" "normal" 156 "fr"
"on" "nasal" "normal" 184 "fr"
"on" "nasal" "normal" 153 "fr"
"on" "nasal" "normal" 175 "fr"
"on" "nasal" "normal" 137 "fr"
"on" "nasal" "normal" 173 "fr"
"on" "nasal" "normal" 157 "fr"
"on" "nasal" "normal" 182 "fr"
"on" "nasal" "normal" 138 "fr"
"on" "nasal" "normal" 166 "fr"
"on" "nasal" "normal" 170 "fr"
"on" "nasal" "normal" 163 "fr"
"on" "nasal" "normal" 133 "fr"
"on" "nasal" "normal" 175 "fr"
"on" "nasal" "normal" 137 "fr"
"on" "nasal" "normal" 205 "fr"
"on" "nasal" "normal" 167 "fr"
"on" "nasal" "normal" 163 "fr"
"on" "nasal" "normal" 169 "fr"
"on" "nasal" "normal" 188 "fr"
"on" "nasal" "normal" 143 "fr"
"on" "nasal" "normal" 141 "fr"
"on" "nasal" "normal" 176 "fr"
"on" "nasal" "normal" 173 "fr"
"on" "nasal" "normal" 151 "fr"
"on" "nasal" "normal" 163 "fr"
"on" "nasal" "normal" 143 "fr"
"on" "nasal" "normal" 177 "fr"
"on" "nasal" "normal" 175 "fr"
"on" "nasal" "normal" 147 "fr"
"on" "nasal" "normal" 163 "fr"
"on" "nasal" "normal" 172 "fr"
"on" "nasal" "normal" 195 "fr"
"on" "nasal" "normal" 188 "fr"
"on" "nasal" "normal" 163 "fr"
"on" "nasal" "normal" 184 "fr"
"ain" "oral" "normal" 34 "cnfr"
"ain" "oral" "normal" 48 "cnfr"
"ain" "oral" "normal" 38 "cnfr"
"ain" "oral" "normal" 42 "cnfr"
"ain" "oral" "normal" 38 "cnfr"
"ain" "oral" "normal" 49 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 51 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 47 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 42 "cnfr"
"ain" "oral" "normal" 46 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 49 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 53 "cnfr"
"ain" "oral" "normal" 53 "cnfr"
"ain" "oral" "normal" 36 "cnfr"
"ain" "oral" "normal" 43 "cnfr"
"ain" "oral" "normal" 39 "cnfr"
"ain" "oral" "normal" 46 "cnfr"
"ain" "oral" "normal" 31 "cnfr"
"ain" "oral" "normal" 52 "cnfr"
"ain" "oral" "normal" 38 "cnfr"
"ain" "oral" "normal" 32 "cnfr"
"ain" "oral" "normal" 52 "cnfr"
"ain" "oral" "normal" 46 "cnfr"
"ain" "oral" "normal" 43 "cnfr"
"ain" "oral" "normal" 35 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 26 "cnfr"
"ain" "oral" "normal" 45 "cnfr"
"ain" "oral" "normal" 36 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 45 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 36 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 50 "cnfr"
"ain" "oral" "normal" 47 "cnfr"
"ain" "oral" "normal" 42 "cnfr"
"ain" "oral" "normal" 39 "cnfr"
"ain" "oral" "normal" 35 "cnfr"
"ain" "oral" "normal" 46 "cnfr"
"ain" "oral" "normal" 50 "cnfr"
"ain" "oral" "normal" 50 "cnfr"
"ain" "oral" "normal" 45 "cnfr"
"ain" "oral" "normal" 50 "cnfr"
"ain" "oral" "normal" 44 "cnfr"
"ain" "oral" "normal" 47 "cnfr"
"ain" "oral" "normal" 50 "cnfr"
"ain" "oral" "normal" 38 "cnfr"
"ain" "oral" "normal" 48 "cnfr"
"ain" "oral" "normal" 42 "cnfr"
"ain" "oral" "normal" 43 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 42 "cnfr"
"ain" "oral" "normal" 40 "cnfr"
"ain" "oral" "normal" 43 "cnfr"
"ain" "nasal" "normal" 193 "cnfr"
"ain" "nasal" "normal" 181 "cnfr"
"ain" "nasal" "normal" 170 "cnfr"
"ain" "nasal" "normal" 148 "cnfr"
"ain" "nasal" "normal" 170 "cnfr"
"ain" "nasal" "normal" 192 "cnfr"
"ain" "nasal" "normal" 194 "cnfr"
"ain" "nasal" "normal" 136 "cnfr"
"ain" "nasal" "normal" 164 "cnfr"
"ain" "nasal" "normal" 168 "cnfr"
"ain" "nasal" "normal" 191 "cnfr"
"ain" "nasal" "normal" 142 "cnfr"
"ain" "nasal" "normal" 166 "cnfr"
"ain" "nasal" "normal" 161 "cnfr"
"ain" "nasal" "normal" 155 "cnfr"
"ain" "nasal" "normal" 184 "cnfr"
"ain" "nasal" "normal" 181 "cnfr"
"ain" "nasal" "normal" 189 "cnfr"
"ain" "nasal" "normal" 163 "cnfr"
"ain" "nasal" "normal" 154 "cnfr"
"ain" "nasal" "normal" 181 "cnfr"
"ain" "nasal" "normal" 132 "cnfr"
"ain" "nasal" "normal" 172 "cnfr"
"ain" "nasal" "normal" 168 "cnfr"
"ain" "nasal" "normal" 161 "cnfr"
"ain" "nasal" "normal" 146 "cnfr"
"ain" "nasal" "normal" 161 "cnfr"
"ain" "nasal" "normal" 201 "cnfr"
"ain" "nasal" "normal" 161 "cnfr"
"ain" "nasal" "normal" 180 "cnfr"
"ain" "nasal" "normal" 133 "cnfr"
"ain" "nasal" "normal" 192 "cnfr"
"ain" "nasal" "normal" 162 "cnfr"
"ain" "nasal" "normal" 161 "cnfr"
"ain" "nasal" "normal" 187 "cnfr"
"ain" "nasal" "normal" 196 "cnfr"
"ain" "nasal" "normal" 167 "cnfr"
"ain" "nasal" "normal" 155 "cnfr"
"ain" "nasal" "normal" 171 "cnfr"
"ain" "nasal" "normal" 209 "cnfr"
"ain" "nasal" "normal" 178 "cnfr"
"ain" "nasal" "normal" 144 "cnfr"
"ain" "nasal" "normal" 187 "cnfr"
"ain" "nasal" "normal" 157 "cnfr"
"ain" "nasal" "normal" 168 "cnfr"
"ain" "nasal" "normal" 201 "cnfr"
"ain" "nasal" "normal" 191 "cnfr"
"ain" "nasal" "normal" 181 "cnfr"
"ain" "nasal" "normal" 169 "cnfr"
"ain" "nasal" "normal" 177 "cnfr"
"ain" "nasal" "normal" 164 "cnfr"
"ain" "nasal" "normal" 162 "cnfr"
"ain" "nasal" "normal" 175 "cnfr"
"ain" "nasal" "normal" 159 "cnfr"
"ain" "nasal" "normal" 206 "cnfr"
"ain" "nasal" "normal" 158 "cnfr"
"ain" "nasal" "normal" 160 "cnfr"
"ain" "nasal" "normal" 183 "cnfr"
"ain" "nasal" "normal" 153 "cnfr"
"ain" "nasal" "normal" 200 "cnfr"
"an" "oral" "normal" 60 "cnfr"
"an" "oral" "normal" 55 "cnfr"
"an" "oral" "normal" 37 "cnfr"
"an" "oral" "normal" 40 "cnfr"
"an" "oral" "normal" 53 "cnfr"
"an" "oral" "normal" 30 "cnfr"
"an" "oral" "normal" 55 "cnfr"
"an" "oral" "normal" 26 "cnfr"
"an" "oral" "normal" 53 "cnfr"
"an" "oral" "normal" 34 "cnfr"
"an" "oral" "normal" 60 "cnfr"
"an" "oral" "normal" 51 "cnfr"
"an" "oral" "normal" 38 "cnfr"
"an" "oral" "normal" 54 "cnfr"
"an" "oral" "normal" 59 "cnfr"
"an" "oral" "normal" 46 "cnfr"
"an" "oral" "normal" 47 "cnfr"
"an" "oral" "normal" 39 "cnfr"
"an" "oral" "normal" 73 "cnfr"
"an" "oral" "normal" 39 "cnfr"
"an" "oral" "normal" 57 "cnfr"
"an" "oral" "normal" 52 "cnfr"
"an" "oral" "normal" 48 "cnfr"
"an" "oral" "normal" 58 "cnfr"
"an" "oral" "normal" 48 "cnfr"
"an" "oral" "normal" 48 "cnfr"
"an" "oral" "normal" 45 "cnfr"
"an" "oral" "normal" 54 "cnfr"
"an" "oral" "normal" 52 "cnfr"
"an" "oral" "normal" 57 "cnfr"
"an" "oral" "normal" 55 "cnfr"
"an" "oral" "normal" 51 "cnfr"
"an" "oral" "normal" 65 "cnfr"
"an" "oral" "normal" 39 "cnfr"
"an" "oral" "normal" 45 "cnfr"
"an" "oral" "normal" 62 "cnfr"
"an" "oral" "normal" 46 "cnfr"
"an" "oral" "normal" 39 "cnfr"
"an" "oral" "normal" 46 "cnfr"
"an" "oral" "normal" 41 "cnfr"
"an" "oral" "normal" 49 "cnfr"
"an" "oral" "normal" 45 "cnfr"
"an" "oral" "normal" 41 "cnfr"
"an" "oral" "normal" 54 "cnfr"
"an" "oral" "normal" 64 "cnfr"
"an" "oral" "normal" 45 "cnfr"
"an" "oral" "normal" 31 "cnfr"
"an" "oral" "normal" 49 "cnfr"
"an" "oral" "normal" 54 "cnfr"
"an" "oral" "normal" 52 "cnfr"
"an" "oral" "normal" 43 "cnfr"
"an" "oral" "normal" 55 "cnfr"
"an" "oral" "normal" 49 "cnfr"
"an" "oral" "normal" 38 "cnfr"
"an" "oral" "normal" 43 "cnfr"
"an" "oral" "normal" 44 "cnfr"
"an" "oral" "normal" 55 "cnfr"
"an" "oral" "normal" 61 "cnfr"
"an" "oral" "normal" 49 "cnfr"
"an" "oral" "normal" 51 "cnfr"
"an" "nasal" "normal" 121 "cnfr"
"an" "nasal" "normal" 198 "cnfr"
"an" "nasal" "normal" 151 "cnfr"
"an" "nasal" "normal" 161 "cnfr"
"an" "nasal" "normal" 142 "cnfr"
"an" "nasal" "normal" 174 "cnfr"
"an" "nasal" "normal" 161 "cnfr"
"an" "nasal" "normal" 164 "cnfr"
"an" "nasal" "normal" 122 "cnfr"
"an" "nasal" "normal" 169 "cnfr"
"an" "nasal" "normal" 186 "cnfr"
"an" "nasal" "normal" 122 "cnfr"
"an" "nasal" "normal" 164 "cnfr"
"an" "nasal" "normal" 147 "cnfr"
"an" "nasal" "normal" 115 "cnfr"
"an" "nasal" "normal" 179 "cnfr"
"an" "nasal" "normal" 171 "cnfr"
"an" "nasal" "normal" 160 "cnfr"
"an" "nasal" "normal" 143 "cnfr"
"an" "nasal" "normal" 214 "cnfr"
"an" "nasal" "normal" 185 "cnfr"
"an" "nasal" "normal" 162 "cnfr"
"an" "nasal" "normal" 202 "cnfr"
"an" "nasal" "normal" 187 "cnfr"
"an" "nasal" "normal" 133 "cnfr"
"an" "nasal" "normal" 113 "cnfr"
"an" "nasal" "normal" 154 "cnfr"
"an" "nasal" "normal" 184 "cnfr"
"an" "nasal" "normal" 171 "cnfr"
"an" "nasal" "normal" 135 "cnfr"
"an" "nasal" "normal" 154 "cnfr"
"an" "nasal" "normal" 140 "cnfr"
"an" "nasal" "normal" 195 "cnfr"
"an" "nasal" "normal" 121 "cnfr"
"an" "nasal" "normal" 148 "cnfr"
"an" "nasal" "normal" 192 "cnfr"
"an" "nasal" "normal" 193 "cnfr"
"an" "nasal" "normal" 146 "cnfr"
"an" "nasal" "normal" 114 "cnfr"
"an" "nasal" "normal" 142 "cnfr"
"an" "nasal" "normal" 200 "cnfr"
"an" "nasal" "normal" 159 "cnfr"
"an" "nasal" "normal" 136 "cnfr"
"an" "nasal" "normal" 180 "cnfr"
"an" "nasal" "normal" 149 "cnfr"
"an" "nasal" "normal" 182 "cnfr"
"an" "nasal" "normal" 177 "cnfr"
"an" "nasal" "normal" 149 "cnfr"
"an" "nasal" "normal" 119 "cnfr"
"an" "nasal" "normal" 174 "cnfr"
"an" "nasal" "normal" 202 "cnfr"
"an" "nasal" "normal" 167 "cnfr"
"an" "nasal" "normal" 188 "cnfr"
"an" "nasal" "normal" 169 "cnfr"
"an" "nasal" "normal" 153 "cnfr"
"an" "nasal" "normal" 172 "cnfr"
"an" "nasal" "normal" 145 "cnfr"
"an" "nasal" "normal" 150 "cnfr"
"an" "nasal" "normal" 127 "cnfr"
"an" "nasal" "normal" 129 "cnfr"
"on" "oral" "normal" 51 "cnfr"
"on" "oral" "normal" 71 "cnfr"
"on" "oral" "normal" 53 "cnfr"
"on" "oral" "normal" 34 "cnfr"
"on" "oral" "normal" 57 "cnfr"
"on" "oral" "normal" 33 "cnfr"
"on" "oral" "normal" 44 "cnfr"
"on" "oral" "normal" 43 "cnfr"
"on" "oral" "normal" 66 "cnfr"
"on" "oral" "normal" 41 "cnfr"
"on" "oral" "normal" 55 "cnfr"
"on" "oral" "normal" 47 "cnfr"
"on" "oral" "normal" 29 "cnfr"
"on" "oral" "normal" 64 "cnfr"
"on" "oral" "normal" 54 "cnfr"
"on" "oral" "normal" 51 "cnfr"
"on" "oral" "normal" 76 "cnfr"
"on" "oral" "normal" 53 "cnfr"
"on" "oral" "normal" 35 "cnfr"
"on" "oral" "normal" 47 "cnfr"
"on" "oral" "normal" 38 "cnfr"
"on" "oral" "normal" 35 "cnfr"
"on" "oral" "normal" 11 "cnfr"
"on" "oral" "normal" 43 "cnfr"
"on" "oral" "normal" 49 "cnfr"
"on" "oral" "normal" 80 "cnfr"
"on" "oral" "normal" 28 "cnfr"
"on" "oral" "normal" 65 "cnfr"
"on" "oral" "normal" 64 "cnfr"
"on" "oral" "normal" 59 "cnfr"
"on" "oral" "normal" 54 "cnfr"
"on" "oral" "normal" 52 "cnfr"
"on" "oral" "normal" 60 "cnfr"
"on" "oral" "normal" 49 "cnfr"
"on" "oral" "normal" 40 "cnfr"
"on" "oral" "normal" 55 "cnfr"
"on" "oral" "normal" 41 "cnfr"
"on" "oral" "normal" 53 "cnfr"
"on" "oral" "normal" 30 "cnfr"
"on" "oral" "normal" 50 "cnfr"
"on" "oral" "normal" 48 "cnfr"
"on" "oral" "normal" 34 "cnfr"
"on" "oral" "normal" 50 "cnfr"
"on" "oral" "normal" 69 "cnfr"
"on" "oral" "normal" 37 "cnfr"
"on" "oral" "normal" 64 "cnfr"
"on" "oral" "normal" 28 "cnfr"
"on" "oral" "normal" 57 "cnfr"
"on" "oral" "normal" 64 "cnfr"
"on" "oral" "normal" 32 "cnfr"
"on" "oral" "normal" 54 "cnfr"
"on" "oral" "normal" 47 "cnfr"
"on" "oral" "normal" 44 "cnfr"
"on" "oral" "normal" 56 "cnfr"
"on" "oral" "normal" 61 "cnfr"
"on" "oral" "normal" 47 "cnfr"
"on" "oral" "normal" 69 "cnfr"
"on" "oral" "normal" 57 "cnfr"
"on" "oral" "normal" 22 "cnfr"
"on" "oral" "normal" 55 "cnfr"
"on" "nasal" "normal" 142 "cnfr"
"on" "nasal" "normal" 211 "cnfr"
"on" "nasal" "normal" 165 "cnfr"
"on" "nasal" "normal" 121 "cnfr"
"on" "nasal" "normal" 172 "cnfr"
"on" "nasal" "normal" 141 "cnfr"
"on" "nasal" "normal" 140 "cnfr"
"on" "nasal" "normal" 173 "cnfr"
"on" "nasal" "normal" 197 "cnfr"
"on" "nasal" "normal" 198 "cnfr"
"on" "nasal" "normal" 159 "cnfr"
"on" "nasal" "normal" 162 "cnfr"
